StudentID,Gender,ParentalEducation,Lunch,MathScore,ReadingScore,WritingScore
1,Female,Bachelor,Standard,78,85,82
2,Male,HighSchool,Free,65,70,68
3,Female,Master,Standard,90,95,92
4,Male,Associate,Standard,72,75,70
5,Female,SomeCollege,Free,60,65,63
6,Male,Bachelor,Standard,82,80,85
7,Female,HighSchool,Free,58,62,61
8,Male,Master,Standard,88,86,89
9,Female,Associate,Standard,75,78,80
10,Male,SomeCollege,Free,66,68,67
11,Female,Bachelor,Standard,85,88,90
12,Male,HighSchool,Free,61,64,60
13,Female,Master,Standard,92,91,93
14,Male,SomeCollege,Standard,73,76,75
15,Female,Associate,Free,64,66,65
16,Male,Bachelor,Standard,80,82,84
17,Female,HighSchool,Free,59,61,60
18,Male,Master,Standard,89,87,90
19,Female,SomeCollege,Free,63,67,66
20,Male,Associate,Standard,70,72,71
